team_name,pos,year,avg
Australia,2,2003,88.4417900000000000
Australia,3,2003,86.1036915254237288
England,1,2003,92.3478816986301370
England,2,2003,90.2389140000000000
France,3,2003,86.5531500000000000
Ireland,3,2003,84.9474260000000000
New Zealand,1,2003,90.4104000000000000
New Zealand,2,2003,89.9806454545454545
New Zealand,3,2003,88.1682500000000000
Australia,2,2004,88.0877973179190751
Australia,3,2004,86.6200367357512953
England,1,2004,92.1357072121212121
England,2,2004,88.3418925000000000
England,3,2004,87.1629839884393064
New Zealand,1,2004,90.5581417263681592
New Zealand,2,2004,90.1154400000000000
Australia,2,2005,88.6018299223744292
Australia,3,2005,85.1244514285714286
England,3,2005,86.5939900000000000
France,3,2005,85.7525579166666667
New Zealand,1,2005,91.4461342465753425
South Africa,2,2005,88.9579918904109589
South Africa,3,2005,85.8469544615384615
Australia,3,2006,86.2424189285714286
England,3,2006,84.2114500000000000
France,2,2006,87.1103603703703704
France,3,2006,85.6948917751479290
Ireland,3,2006,84.6701800000000000
New Zealand,1,2006,93.4794531506849315
South Africa,2,2006,88.7571640000000000
South Africa,3,2006,87.0793575000000000
Argentina,3,2007,87.4499100000000000
Australia,2,2007,87.1326280000000000
Australia,3,2007,85.5040360000000000
England,3,2007,87.1481500000000000
France,2,2007,85.9975692307692308
France,3,2007,85.9462681818181818
New Zealand,1,2007,93.9467358571428571
New Zealand,2,2007,89.6102100000000000
South Africa,1,2007,90.8173400000000000
South Africa,2,2007,87.5347170000000000
South Africa,3,2007,86.0603150000000000
Argentina,3,2008,87.2952138674033149
Australia,2,2008,87.7649400000000000
Australia,3,2008,85.9155328876404494
New Zealand,1,2008,92.0328734265734266
New Zealand,2,2008,89.5300742825112108
South Africa,1,2008,90.7367579461883408
South Africa,2,2008,88.4244608382352941
South Africa,3,2008,86.5220100000000000
Australia,3,2009,85.6695031452054795
New Zealand,1,2009,92.1325152964426877
New Zealand,2,2009,89.8123050625000000
South Africa,1,2009,91.4033756875000000
South Africa,2,2009,89.3773599762845850
Australia,2,2010,86.4514081909090909
Australia,3,2010,85.3749444919354839
France,3,2010,84.9071350000000000
New Zealand,1,2010,92.6565107506849315
South Africa,2,2010,88.3323868313725490
South Africa,3,2010,85.6572822272727273
Australia,2,2011,87.5108016083086053
Australia,3,2011,84.9888975000000000
France,3,2011,84.7057980000000000
New Zealand,1,2011,92.4473144109589041
South Africa,2,2011,86.6463600000000000
South Africa,3,2011,86.1726345363984674
Australia,2,2012,87.3318978770226537
Australia,3,2012,86.2335581052631579
France,3,2012,84.7369506250000000
New Zealand,1,2012,91.6976561147540984
South Africa,2,2012,86.4920136842105263
South Africa,3,2012,84.5945516000000000
Australia,3,2013,86.8538652434456929
England,3,2013,85.8337389285714286
New Zealand,1,2013,91.1094053013698630
South Africa,2,2013,87.5003341287671233
Australia,3,2014,86.9766508000000000
England,3,2014,85.6770400000000000
Ireland,3,2014,85.3798784888888889
New Zealand,1,2014,93.6846117808219178
South Africa,2,2014,89.3026143452054795
Australia,2,2015,89.0270790086206897
Australia,3,2015,86.7347275000000000
England,3,2015,85.6304475000000000
Ireland,2,2015,86.8883600000000000
Ireland,3,2015,85.7140075887850467
New Zealand,1,2015,93.9418038410958904
South Africa,2,2015,88.0724109321266968
South Africa,3,2015,87.0652947954545455
Wales,2,2015,87.3114800000000000
Wales,3,2015,87.3114800000000000
Australia,2,2016,89.2561016374269006
Australia,3,2016,86.1504966826923077
England,2,2016,89.6275336307692308
England,3,2016,86.3696100000000000
New Zealand,1,2016,95.9531485519125683
South Africa,3,2016,87.0789695843137255
Australia,3,2017,86.4749196972477064
England,2,2017,90.2011096712328767
Ireland,3,2017,85.6814775000000000
New Zealand,1,2017,94.7021644219178082
South Africa,3,2017,85.7476996000000000
Australia,3,2018,86.5559600000000000
England,2,2018,90.5741400000000000
England,3,2018,86.3294346153846154
Ireland,2,2018,89.8609103593220339
Ireland,3,2018,86.6923502000000000
New Zealand,1,2018,93.6695068219178082
Wales,3,2018,86.2451902538071066
England,1,2019,92.2892300000000000
England,2,2019,89.7445800000000000
England,3,2019,88.1877906818181818
Ireland,1,2019,89.4699300000000000
Ireland,2,2019,90.2668732777777778
Ireland,3,2019,88.6907400000000000
New Zealand,1,2019,92.1517891911764706
New Zealand,2,2019,90.1613326923076923
New Zealand,3,2019,89.9231700000000000
South Africa,1,2019,94.1857200000000000
South Africa,2,2019,90.7127900000000000
Wales,1,2019,89.4325260000000000
Wales,2,2019,89.7826348000000000
Wales,3,2019,87.8870403225806452
